Function Tag	Parent	Parent Category	Counts	Example Record ID	Example Symbiont	Example Function	Example Reference	Definition	Expanded explanation
stress resistance	None	Defense	20	RISB0090	Bacteroides	enhance the compatibility of invasive pests to new hosts and enable more rapid adaptation to new habitats.	10.1093/ismejo/wrae031	The symbiont enhances the host insect’s tolerance to diverse environmental or physiological stressors—such as desiccation, toxins, starvation, antibiotics, or habitat shifts—by improving host fitness, physiological stability, or adaptive plasticity under adverse conditions.	Stress resistance represents a broad adaptive category encompassing all symbiont-mediated improvements to host survival under biotic or abiotic challenges. Symbionts can regulate cuticle formation, melanization, and hydrocarbon profiles to prevent desiccation; modulate host metabolism to increase resistance to heavy metals or antibiotics; or enhance adaptability to novel host plants and ecological niches. This tag applies when the defensive function cannot be attributed to a more specific mechanism (e.g., against pathogens or natural enemies).
temparature adaptation	stress resistance	Defense	23	RISB0840	Cardinium	Cardinium can increase the thermal tolerance of whitefly	10.1002/ps.6543	The symbiont contributes to the host insect’s ability to withstand or recover from thermal stress—either high or low temperatures—by enhancing heat or cold tolerance through physiological or metabolic regulation.	Temperature adaptation covers both cold and heat stress mechanisms. Symbionts may induce ice-nucleation or antifreeze proteins that enable freeze tolerance, stabilize host cell membranes, promote recovery of obligate symbionts after thermal shock, or increase the host’s thermal tolerance limits. These processes are critical for insect survival across seasonal or geographical temperature fluctuations.
natural enemy resistance	stress resistance	Defense	54	RISB0001	Proteus vulgaris Ld01	produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which protect the insect from predation	10.1038/s41467-024-54439-z	The symbiont enhances the host insect’s defense against natural enemies—such as predators, parasitoids, or pathogens—by producing toxins, altering host behavior or physiology, or interfering with the development, survival, or foraging ability of the enemy. This resistance can manifest as chemical protection, immune modulation, behavioral adaptation, or structural reinforcement of the host.	Symbiont-mediated natural enemy resistance encompasses a broad range of defensive mechanisms. Symbionts may synthesize bioactive compounds (e.g., hydrogen cyanide, cyanoglucosides) toxic to predators; modify host traits (e.g., cuticle hardening, behavioral aggression, reduced evasive response); or impair parasitoid success by prolonging their development, reducing emergence rate, or directly inhibiting infection by entomopathogens or parasites. Collectively, these symbiotic interactions enhance host survival and competitive advantage in multitrophic ecological contexts.
pathogen resistance	stress resistance	Defense	66	RISB0425	Pseudomonas	Pseudomonas is the most prevalent microbiota in the Plasmodium-negative groups and protects mosquitoes from the invasion of malaria parasites.A low proportion of the Psuedomonas population of microbiome profiles in the hyperendemic areas, indicating that there might be some factors such as malaria parasites to disturb the balance of microbiota	10.1038/s41598-023-35641-2	The symbiont protects the host insect from pathogenic microorganisms—such as bacteria, fungi, protozoans, or viruses—by inhibiting pathogen invasion, proliferation, or transmission through direct antimicrobial activity or immune modulation.	Pathogen resistance includes symbiont-mediated mechanisms like the production of antimicrobial compounds, competition for niche space, or activation of host immune pathways (e.g., Imd or Toll). It may involve blocking the development of parasites such as Plasmodium, preventing infection by phytoplasmas, or maintaining gut microbial balance to inhibit opportunistic pathogens. This functional category emphasizes defense against microbial or parasitic infections, rather than general environmental tolerance.
pesticide metabolization	detoxification enzymes	Defense	110	RISB0112	Enterococcus casseliflavus	increase the resistance of B. dorsalis to β-cypermethrin by regulating cytochrome P450 (P450) enzymes and α-glutathione S-transferase (GST) activities	10.1093/ismejo/wrae058.	The symbiont enhances the host insect’s tolerance to or degradation of pesticides by enzymatically metabolizing insecticidal compounds or modulating the host’s detoxification pathways.	Symbiont-mediated pesticide metabolization includes the direct breakdown of synthetic insecticides (e.g., chlorpyrifos, chlorantraniliprole, β-cypermethrin) or indirect regulation of host xenobiotic enzymes such as cytochrome P450s, glutathione S-transferases (GSTs), and UDP-glucuronosyltransferases. These interactions either detoxify chemical stressors in vitro or increase host resistance in vivo, providing a biochemical shield against anthropogenic toxicants. Conversely, certain symbionts can sensitize the host to insecticides by suppressing these pathways, demonstrating bidirectional influence.
plant defense modulation	None	Defense	56	RISB0390	Acinetobacter	interfere with plant anti-herbivore defense and avoid fully activating the JA-regulated antiherbivore defenses of rice plants	10.1186/s12284-022-00617-w	The symbiont alters the physiological or biochemical defense responses of host plants—either suppressing or inducing them—thereby influencing the feeding performance, survival, or reproduction of the insect host.	Symbionts can interfere with plant anti-herbivore signaling pathways (e.g., jasmonic acid, salicylic acid, Ca²⁺, ROS) to suppress defense gene expression, reduce secondary metabolite accumulation, or impair enzymatic defenses such as peroxidases and trypsin inhibitors. In some cases, symbionts transmitted through insect feeding persist in plants and modify their defense profiles, increasing the insect’s fitness or enabling colonization. Conversely, certain symbionts can enhance plant defenses, influencing ecological interactions such as vector–host coevolution.
antiviral activity	stress resistance	Defense	11	RISB0447	Wolbachia	Wolbachia can protect insects against the La Jolla virus (LJV; Iflaviridae) and Newfield virus (NFV; Permutotetraviridae)	10.1038/s41598-023-35726-z	The symbiont confers protection against viral infections by inhibiting viral replication, transmission, or infection establishment within the host insect or its vector population.	Antiviral activity may involve direct viral degradation (e.g., secretion of proteases or lipases that destroy viral envelope proteins) or indirect mechanisms such as the upregulation of host immune pathways (e.g., Toll, JAK-STAT, or antimicrobial peptide expression). Symbionts like Wolbachia, Asaia, and Bombella can suppress the replication of arboviruses (e.g., DENV, CHIKV, SBV), reduce viral load, or lower transmission efficiency across host generations.
antimicrobial activity	stress resistance	Defense	105	RISB0334	Streptomyces philanthi	S. philanthi  protect the offspring from opportunistic pathogens by producing antibiotics ,the beewolf protects S. philanthi from oxidative and nitrosative damage by producing protective enzymes and embalming the symbiont in a secretion containing long-chain hydrocarbons	10.1073/pnas.2302721120	The symbiont produces bioactive compounds or enzymes that inhibit or kill other microorganisms, including bacteria, fungi, and competing symbionts, thereby protecting the host or maintaining microbial homeostasis.	This function includes the secretion of antibiotics, lysozymes, defensins, or secondary metabolites that suppress pathogenic or rival microbes. Examples include inhibition of Beauveria bassiana, Metarhizium robertsii, or Pseudonocardia, as well as defensive antibiotic production by Streptomyces and Bacillus. Antimicrobial symbionts may also shape the gut microbiome composition, contributing both to host immunity and symbiont niche defense.
detoxification enzymes	stress resistance	Defense	160	RISB0088	Pseudomonas fulva ZJU1	Pseudomonas fulva ZJU1 can degrade and utilize the mulberry-derived secondary metabolite, 1-deoxynojirimycin (DNJ) as the sole energy source, and after inoculation into nonspecialists, P. fulva ZJU1 increased host resistance to DNJ and significantly promoted growth	10.1073/pnas.2412165121	The symbiont produces enzymes that degrade or neutralize toxic compounds—such as plant secondary metabolites, pesticides, antibiotics, or synthetic pollutants—thereby reducing host toxicity and improving survival or feeding efficiency.	Detoxification mechanisms include enzymatic degradation of alkaloids, phenols, benzoxazinoids, mycotoxins, and anthropogenic chemicals (e.g., polystyrene, insecticides). Common enzyme types involve oxidoreductases, hydrolases, and lyases. These functions help herbivorous or generalist insects tolerate chemically defended plants and contaminated environments.
plant secondary metabolites	detoxification enzymes	Defense	4	RISB0715	Lactobacillus	Have the function of nutrient absorption, energy metabolism, the plant’s secondary metabolites degradation, insect immunity regulation, and so on	10.1038/s41598-022-17278-w	The symbiont assists the host in degrading, tolerating, or utilizing plant secondary metabolites that would otherwise deter feeding or reduce survival.	This includes microbial degradation of alkaloids, terpenoids, phenols, or glucosides, converting them into non-toxic or even nutritive forms.
